lemma	date1	date2	group	annotator1	annotator2	annotator3	annotator4	annotator5	mean	comments1	comments2	comments3	comments4	comments5
Reichstag	1880	1878	later	4	4	4	3	0	3.75	 	 	 	 	Satz 1 lässt kaum einen Rückschluss auf die Bedeutung von Reichstag zu.
technisch	1788	1899	compare	3	3	3	4	3	3.2	 	 	 	 	 
geharnischt	1778	1895	compare	4	3	4	4	3	3.6	 	 	 	 	 
flott	1774	1756	earlier	0	1	2	0	0	0	Satz 1 zu wenig Kontext	 	 	zwei verschiedene Wörter	Die Bedeutung von flott ist in Satz 1 nicht erkennbar
Feine	1879	1897	later	2	1	2	2	1	1.6	 	 	 	 	 
packen	1864	1784	compare	3	1	3	1	3	2.2	 	 	 	 	 
Feder	1866	1796	compare	2	2	2	2	2	2	 	 	 	 	 
englisch	1769	1756	earlier	3	3	3	3	4	3.2	 	 	 	 	 
Presse	1868	1795	compare	2	2	1	2	0	1.75	 	 	 	 	Es ist nicht möglich, die Bedeutung von Presse in Satz 2 zweifelsfrei zu erschließen.
Kinderstube	1787	1783	earlier	3	1	4	4	4	3.2	 	 	 	 	 
Presse	1756	1766	earlier	3	1	4	2	2	2.4	 	 	 	 	 
packen	1777	1796	earlier	3	4	3	3	4	3.4	 	 	 	 	 
Feine	1756	1855	compare	4	4	2	3	3	3.2	 	 	 	 	 
Museum	1855	1876	later	4	4	3	4	4	3.8	 	 	 	 	 
Anstellung	1875	1880	later	4	3	4	4	4	3.8	 	 	 	 	 
packen	1881	1866	later	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1852	1783	compare	2	1	2	1	1	1.4	 	 	 	 	 
Abend	1791	1855	compare	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1764	1778	earlier	2	1	3	2	1	1.8	 	 	 	 	 
geharnischt	1890	1861	later	2	1	3	2	1	1.8	 	 	 	 	 
Vorwort	1764	1756	earlier	2	2	1	2	1	1.6	 	 	 	 	 
packen	1856	1869	later	4	1	3	1	3	2.4	 	 	 	 	 
packen	1776	1775	earlier	2	1	2	0	1	1.5	 	 	 	zwei verschiedene Wörter	 
technisch	1793	1788	earlier	4	4	4	3	3	3.6	 	 	 	 	 
Reichstag	1757	1787	earlier	3	3	3	3	0	3	 	 	 	 	Bedeutung von Reichstag in Satz 2 kaum zu erschließen
Anstalt	1868	1751	compare	1	2	1	1	1	1.2	 	 	 	 	 
billig	1888	1862	later	2	2	1	1	2	1.6	 	 	 	 	 
Abend	1854	1864	later	3	4	4	4	4	3.8	 	 	 	 	 
Steckenpferd	1899	1889	later	4	4	3	0	0	3.6666666667	 	 	 	zu wenig Kontext	Es ist nicht möglich, die Bedeutung von Steckenpferd in Satz 2 zweifelsfrei zu erschließen.
packen	1894	1851	later	0	0	1	0	0	0	Satz 1 zu wenig Kontext	Sprache von Satz 1 leider nicht bekannt	 	zwei verschiedene Wörter	Satz 1 ist ein fremsprachlicher Beleg. Vermutlich hat hier die Lemmatisierung nicht funktioniert.
Zufall	1796	1791	earlier	2	1	1	1	2	1.4	 	 	 	 	 
Kinderstube	1894	1871	later	3	2	3	2	4	2.8	 	 	 	 	 
Anstalt	1861	1852	later	1	1	1	1	1	1	 	 	 	 	 
Anstalt	1850	1852	later	1	2	1	1	1	1.2	 	 	 	 	 
billig	1888	1895	later	4	1	1	1	2	1.8	 	 	 	 	 
Kinderstube	1876	1871	later	3	3	4	4	2	3.2	 	 	 	 	 
Vorwort	1858	1893	later	2	2	1	2	1	1.6	 	 	 	 	 
Reichstag	1876	1876	later	3	3	4	3	4	3.4	 	 	 	 	 
Presse	1876	1855	later	2	1	2	1	1	1.4	 	 	 	 	 
Feine	1855	1799	compare	4	4	4	2	3	3.4	 	 	 	 	 
Feder	1867	1775	compare	2	2	1	2	2	1.8	 	 	 	 	 
Zufall	1776	1774	earlier	4	2	4	4	4	3.6	 	 	 	 	 
Donnerwetter	1852	1861	later	4	4	4	4	4	4	 	 	 	 	 
Kinderstube	1873	1787	compare	3	2	4	3	3	3	 	 	 	 	 
Reichstag	1786	1787	earlier	4	3	4	4	4	3.8	 	 	 	 	 
Anstalt	1780	1861	compare	1	1	1	1	1	1	 	 	 	 	 
Presse	1893	1868	later	0	1	1	0	0	0	Satz 1 zu wenig Kontext	 	 	zwei verschiedene Wörter	Fehler bei der Lemmatisierung (Satz 1)
Kinderstube	1853	1895	later	3	2	3	2	2	2.4	 	 	 	 	 
Vorwort	1881	1857	later	3	1	4	3	0	2.75	 	 	 	 	Bedeutung von Vorwort in Satz 1 nicht erschließbar.
Vorwort	1890	1884	later	4	4	4	4	0	4	 	 	 	 	Bedeutung von Vorwort in Satz 2 nicht erschließbar.
Motiv	1796	1767	earlier	4	4	3	3	2	3.2	 	 	 	 	 
Anstalt	1891	1896	later	3	3	3	4	3	3.2	 	 	 	 	 
